KIT DE CALIPER NACIONALES (AKRON);;;;;;;;;;;
Referencia;Descripcion;Para;Diametro mm ;;;COSTO;CARACAS;ORIENTE;CATEGOTRIA;EQUIVALENCIA;MARCA
KT-16020;Kit de Reparacion para Cilindro de Rueda, Toyota Corolla;;"11/16""";;;2,94;6,53;7,35;KIT DE REPARACION DE CILINDRO DE FRENO ;648;
KT-16030;Kit de Reparacion para Cilindro de Rueda, Toyota Corolla (Goma Alta);;"11/16""";;;2,94;6,53;7,35;KIT DE REPARACION DE CILINDRO DE FRENO ;649;
KT-19155;Kit de Reparacion para Cilindro de Rueda, Toyota Corolla;;"3/4""";;;2,94;6,53;7,35;KIT DE REPARACION DE CILINDRO DE FRENO ;650;
KT-60040;Kit de Reparacion para Cilindro de Rueda, Toyota Land Cruiser (-76);;"7/8""";;;6,02;13,38;15,05;KIT DE REPARACION DE CILINDRO DE FRENO ;651;
KT-60050;Kit de Reparacion para Cilindro de Rueda, Toyota Samurai;;"1""";;;6,44;14,31;16,10;KIT DE REPARACION DE CILINDRO DE FRENO ;652;
KT-60060;Kit de Reparacion para Cilindro de Rueda, Toyota (Tipo Anillo), Cilindro Taiwanes  ;;"1-1/8""";;;6,85;15,23;17,14;KIT DE REPARACION DE CILINDRO DE FRENO ;653;
KT-2755;Kit de Reparacion para Cilindro de Rueda, Lada (Todos);;"13/16""";;;2,52;5,60;6,30;KIT DE REPARACION DE CILINDRO DE FRENO ;654;
KT-46100;Kit de Reparacion para Cilindro de Rueda, MAZDA 626L  (TIPO ANILLO);;"3/4""";;;2,94;6,53;7,35;KIT DE REPARACION DE CILINDRO DE FRENO ;655;
KT-3272-0;Kit de Reparacion para Cilindro de Rueda, Fiat Palio, Siena;;19.05mm;;;2,24;4,98;5,60;KIT DE REPARACION DE CILINDRO DE FRENO ;656;
KT-1000;Kit de Reparacion para Cilindro de Rueda, Volkswagen Gol;;"9/16""";;;4,20;9,33;10,50;KIT DE REPARACION DE CILINDRO DE FRENO ;657;
KT-3000;Kit de Reparacion para Cilindro de Rueda, Mitsubishi Canter;;"1-1/4""""";;;4,90;10,89;12,25;KIT DE REPARACION DE CILINDRO DE FRENO ;658;
KT-3005;Kit de Reparacion para Cilindro de Rueda, Mitsubishi Canter (1 Rueda);;"1-1/8""";;;11,76;26,13;29,40;KIT DE REPARACION DE CILINDRO DE FRENO ;659;
KT-60061;Kit de Reparacion para Cilindro de Rueda, Toyota (2 Ruedas) ;;"1-1/8""";;;4,34;9,64;10,85;KIT DE REPARACION DE CILINDRO DE FRENO ;660;
KT-940;Kit de Reparacion para Cilindro de Rueda, Renault Twingo;;"13/16""";;;2,66;5,91;6,65;KIT DE REPARACION DE CILINDRO DE FRENO ;661;
KT-69105;Kit de Reparacion para Cilindro de Rueda, Toyota Cilindro Taiwanes;;"1""";;;6,72;14,93;16,80;KIT DE REPARACION DE CILINDRO DE FRENO ;662;
KT-1327;Kit de Reparacion para Cilindro de Rueda, Camioneta Nissan Terrano (1 Rueda);;"15/16""";;;3,22;7,16;8,05;KIT DE REPARACION DE CILINDRO DE FRENO ;663;
KT-3272-1;Kit de Reparacion para Cilindro de Rueda, Fiat Palio, Siena 04/06  ;;"13/16""";;;3,08;6,84;7,70;KIT DE REPARACION DE CILINDRO DE FRENO ;664;
KT-175775;Kit de Reparacion para Cilindro de Rueda, Volkswagen Kombi, Chevrolet Minibus, Dodge Dart Argentino ;;"1""";;;3,08;6,84;7,70;KIT DE REPARACION DE CILINDRO DE FRENO ;665;
KT-123419;Kit de Reparacion para Cilindro de Rueda, Mitsubishi Lancer, (Todos) ;;19.05mm;;;3,08;6,84;7,70;KIT DE REPARACION DE CILINDRO DE FRENO ;666;
KT-214552;Kit de Reparacion para Cilindro de Rueda, Toyota Terios ;;"13/16""";;;4,06;9,02;10,15;KIT DE REPARACION DE CILINDRO DE FRENO ;667;
KT-1039;Kit de Reparacion para Cilindro de Rueda, Chevrolet Luv-Dmax ;;"31/32""";;;3,22;7,16;8,05;KIT DE REPARACION DE CILINDRO DE FRENO ;668;
KT-109550;Kit de Reparacion para Cilindro de Rueda, Chevrolet Optra 2005 Trasero;;32mm;;;3,36;7,47;8,40;KIT DE REPARACION DE CILINDRO DE FRENO ;669;
KT-15274;Kit de Reparacion para Cilindro de Rueda, Kia Sorento 03/08;;45mm;;;3,36;7,47;8,40;KIT DE REPARACION DE CILINDRO DE FRENO ;670;
KT-46300;Kit de Reparacion para Cilindro de Rueda, Encava E-NT900 ;;"1-3/16""";;;6,86;15,24;17,15;KIT DE REPARACION DE CILINDRO DE FRENO ;671;
KT-2640;Kit de Reparacion para Cilindro de Rueda, Chevrolet Luv. 96-05 ;;"7/8""";;;5,18;11,51;12,95;KIT DE REPARACION DE CILINDRO DE FRENO ;672;
KT-5512A;Kit de Reparacion para Cilindro de Rueda, Toyota Fortuner, Prado (Meru), Hilux Kavak 06-11  ;;"7/8""";;;3,08;6,84;7,70;KIT DE REPARACION DE CILINDRO DE FRENO ;673;
KT-4248;Kit de Reparacion para Cilindro de Rueda, Chevrolet Corsa 1.3 (92/08);;19.05 mm;;;2,94;6,53;7,35;KIT DE REPARACION DE CILINDRO DE FRENO ;674;
KT-37942;Kit de Reparacion para Cilindro de Rueda, Encava Series: E-NT610/3100  08/11;;"1-1/2""";;;3,78;8,40;9,45;KIT DE REPARACION DE CILINDRO DE FRENO ;676;
KT-702454;Kit de Reparacion para Cilindro de Rueda, Renault Series: Symbol 02-05;;"11/16""";;;3,23;7,17;8,06;KIT DE REPARACION DE CILINDRO DE FRENO ;677;
KT-10742;Kit de Reparacion para Cilindro de Rueda, Chevrolet Series: Luv D-max;;"1""";;;4,48;9,96;11,20;KIT DE REPARACION DE CILINDRO DE FRENO ;678;
KT-5157;Kit de Reparacion para Cilindro de Rueda, Iveco Series: 5912-6012 (Todos), 1 Rueda.;;"15/16""";;;2,66;5,91;6,65;KIT DE REPARACION DE CILINDRO DE FRENO ;679;
KT-13499023 ;Kit de Reparacion para Cilindro de Rueda, Peugeot Partner;;"7/8""";;;3,36;7,47;8,40;KIT DE REPARACION DE CILINDRO DE FRENO ;681;
KT-112099;Kit de Reparacion para Cilindro de Rueda, Mitsubishi Pannel L300;;"13/16""";;;2,52;5,60;6,30;KIT DE REPARACION DE CILINDRO DE FRENO ;682;
KT-4595;Kit de Reparacion para Cilindro de Rueda, Renault Megáne (01/08);;"3/4""";;;2,38;5,29;5,95;KIT DE REPARACION DE CILINDRO DE FRENO ;683;
KT-53401;Kit de Reparacion para Cilindro de Rueda, Chevrolet Grand Vitara (98/06);;"7/8""";;;7,00;15,56;17,50;KIT DE REPARACION DE CILINDRO DE FRENO ;684;
KT-3000-1;Kit de Reparacion para Cilindro de Rueda, Mitsubishi Canter (Incluye Guardapolvos);;"1-1/4""";;;16,80;37,33;42,00;KIT DE REPARACION DE CILINDRO DE FRENO ;685;
KT-8973193;Kit de Reparacion para Cilindro de Rueda, Luv D-Max 4x2, (3.3/3.5CC) 04/09;;"15/16""";;;5,88;13,07;14,70;KIT DE REPARACION DE CILINDRO DE FRENO ;686;
KT-97179335;Kit de Reparacion para Cilindro de Rueda, Chevrolet NHR;;"7/8""";;;21,00;46,67;52,50;KIT DE REPARACION DE CILINDRO DE FRENO ;687;
KT-37100;"Kit de Reparacion de Cilindro Toyota Dyna 1-3/16""";;;;;28,00;62,22;70,00;KIT DE REPARACION DE CILINDRO DE FRENO ;688;
KT-41271;Kit De Reparación De Caliper Tras. Ford Series F-250/350 Super Duty Past. D1691 8919;;51mm;;;4,20;9,33;10,50;KIT DE REPARACION DE CILINDRO DE FRENO ;689;
KT-96574719;Kit De Reparación De  Cilindro Chevrolet Aveo;;"13/16""";;;4,90;10,89;12,25;KIT DE REPARACION DE CILINDRO DE FRENO ;690;
;;;;;;;;;;;
;;;;;;;;;;;
GOMAS PLANAS NACIONALES (AKRON);;;;;;;;;;;
Referencia;Descripcion;C;MEDIDA;MEDIDA;MEDIDA;COSTO;CARACAS;ORIENTE;;;
GC36158800; Goma Plana Tipo Copa Ø 15.88 ;;"5/8""";;;0,70;1,56;1,75;GOMAS PLANAS AKRON ;829;
GC41190500; Goma Plana Tipo Copa Reforzada ;;"3/4""";;;0,42;0,93;1,05;GOMAS PLANAS AKRON ;855;
GC41206400; Goma Plana Tipo Copa Reforzada ;;"13/16""";;;0,56;1,24;1,39;GOMAS PLANAS AKRON ;848;
GC39214300; Goma Plana Tipo Copa ;;"27/32""";;;0,56;1,24;1,39;GOMAS PLANAS AKRON ;833;
GC41222300; Goma Plana Tipo Copa Reforzada ;;"7/8""";;;0,70;1,56;1,75;GOMAS PLANAS AKRON ;853;
GC41238100; Goma Plana Tipo Copa Reforzada ;;"15/16""";;;0,84;1,87;2,10;GOMAS PLANAS AKRON ;854;
GC41254000; Goma Plana Tipo Copa Reforzada ;;"1""";;;0,70;1,56;1,75;GOMAS PLANAS AKRON ;849;
GC41269900; Goma Plana Tipo Copa Reforzada ;;"1-1/16""";;;0,70;1,56;1,75;GOMAS PLANAS AKRON ;846;
GC41285800; Goma Plana Tipo Copa Reforzada ;;"1-1/8""";;;0,98;2,18;2,45;GOMAS PLANAS AKRON ;852;
GC41301600; Goma Plana Tipo Copa Reforzada ;;"1-3/16""";;;1,12;2,49;2,80;GOMAS PLANAS AKRON ;856;
GC41317500; Goma Plana Tipo Copa Reforzada ;;"1-1/4""";;;1,40;3,11;3,50;GOMAS PLANAS AKRON ;857;
GC41349300; Goma Plana Tipo Copa Reforzada ;;"1-3/8""";;;1,68;3,73;4,20;GOMAS PLANAS AKRON ;861;
GC41381000; Goma Plana Tipo Copa Reforzada ;;"1-1/2""";;;1,40;3,11;3,50;GOMAS PLANAS AKRON ;858;
GC41412800; Goma Plana Tipo Copa Reforzada ;;"1-5/8""";;;1,40;3,11;3,50;GOMAS PLANAS AKRON ;;
GC39230200;Goma Tipo Copa ;;"29/32""";;;0,42;0,93;1,05;GOMAS PLANAS AKRON ;;
GC39246000;Goma Plana sin Refuerzo , 24,6 mm;;"31/32""";;;0,70;1,56;1,75;GOMAS PLANAS AKRON ;;
GC41174600;Goma Tipo Copa Reforzada Ø 17.46   ;;"11/16""";;;0,42;0,93;1,05;GOMAS PLANAS AKRON ;851;
GC.1194;Goma De Cilindro Tipo Anillo para Toyota  ;;"1-1/8""";;;0;0,00;0,00;GOMAS PLANAS AKRON ;;
GC.1195;Goma De Cilindro Tipo Anillo para Toyota ;;"1""";;;0;0,00;0,00;GOMAS PLANAS AKRON ;;
;;;;;;;;;;;
;;;;;;;;;;;
KIT DE REPARTACION DE BOMBIN AKRON (SOLO GOMAS);;;;;;;;;;;
Referencia;Descripcion;CANTIDAD;MEDIDA;MEDIDA;MEDIDA;COSTOS;CARACAS;ORIENTE;;;
KC-3141035250;Kit de Bombin, Toyota Series: Merú (04/09), Pickup, 4Runner (93/99) Bombin Superior;;"5/8""";;;1,26;2,80;3,15;KIT DE REPARACION DE BOMBIN DE FRENO ;7000;
KC-0431160030;Kit de Bombin, Toyota Series: Land Cruiser (Todos) Bombín Inferior);;"3/4""";;;1,40;3,11;3,50;KIT DE REPARACION DE BOMBIN DE FRENO ;7004;
KC-0431112010;Kit de Bombin, Toyota Series: Avila (86/89);;"13/16""";;;1,68;3,73;4,20;KIT DE REPARACION DE BOMBIN DE FRENO ;7005;
KC-96167964;Kit de Bombin, Daewoo Series: Lanos;;"5/8""";;;0,98;2,18;2,45;KIT DE REPARACION DE BOMBIN DE FRENO ;7006;
KC-96159109;Kit de Bombin, Daewoo Series: Lanos, Cielo, Nubira, Ford Ranger (94/98);;"13/16""";;;0,84;1,87;2,10;KIT DE REPARACION DE BOMBIN DE FRENO ;7007;
KC-0431360050;Kit de Bombin, Toyota Series: 2F (75/88), 3F (85/92) Bombín inferior;;"13/16""";;;1,68;3,73;4,20;KIT DE REPARACION DE BOMBIN DE FRENO ;7003;
KC-97040866;Kit de Bombin, Isuzu Rodeo (92/04), D-Max (05/12) Bombín inferior;;"7/8""";;;1,68;3,73;4,20;KIT DE REPARACION DE BOMBIN DE FRENO ;7001;
KC-3147022150;Kit de Bombin, Toyota Hilux (95/01), 4Runner (84/95), T100 Bombin Inferior;;"13/16""";;;1,68;3,73;4,20;KIT DE REPARACION DE BOMBIN DE FRENO ;7002;
KC-TRA0029;Kit de Bombin, Ford Cargo 815/7121, Bombin Superior;;"7/8""";;;3,08;6,84;7,70;KIT DE REPARACION DE BOMBIN DE FRENO ;7008;
KC-F81Z7A543FA;Kit de Bombin, Ford Triton F-350 años (02/10), Super Duty años (11/19), Bombin Superior;;18mm;;;0,6;1,33;1,50;KIT DE REPARACION DE BOMBIN DE FRENO ;7009;
KC-F81Z7A564BA;Kit de Bombin, Ford Triton F-350 años (02/12), Super Duty años (11/19), Bombin Inferior;;"13/16""";;;0,84;1,87;2,10;KIT DE REPARACION DE BOMBIN DE FRENO ;7010;
KC-817389431;Kit de Bombin, Mazda BT50, B2200, B2600, Bombin Superior;;"5/8""";;;1,54;3,42;3,85;KIT DE REPARACION DE BOMBIN DE FRENO ;7011;
KC-55222435;Kit de Bombin, Fiat Idea, Bombin Superior;;24,20mm;;;0,84;1,87;2,10;KIT DE REPARACION DE BOMBIN DE FRENO ;7012;
KC-MOT0053;Kit de Bombin, Ford Cargo 815, Bombin Inferior;;"7/8""";;;0,84;1,87;2,10;KIT DE REPARACION DE BOMBIN DE FRENO ;7013;
KC-2S657A564AA;Kit de Bombin, Ford Ecosport año (03/14), Fiesta años (97/14), Chery Orinoco, Collarin Hidraulico;;"1-1/2""";;;1,12;2,49;2,80;KIT DE REPARACION DE BOMBIN DE FRENO ;7014;
KC-96286828;Kit de Bombin, Chevrolet Optra y Aveo, Collarin Hidraulico;;38,8mm;;;1,26;2,80;3,15;KIT DE REPARACION DE BOMBIN DE FRENO ;7015;
KC-LMC376;Kit de Bombin, Ford Series: Triton (99/07), Super Duty (07/13), F-250 (01/07), Bombin Superior;;18mm;;;0,84;1,87;2,10;KIT DE REPARACION DE BOMBIN DE FRENO ;7016;
KC-LSC369;Ford Series: Triton (99/07), Super Duty (07/13), F-250 (01/07), Bombin Inferior;;21,1;;;0,84;1,87;2,10;KIT DE REPARACION DE BOMBIN DE FRENO ;7017;
KC-96297178;Kit de Bombin, Daewoo Espero, Bombín Superior;;"5/8""";;;1,26;2,80;3,15;KIT DE REPARACION DE BOMBIN DE FRENO ;7018;
KC-0431117030;Kit de Bombin, Toyota Series: Avila (83/87) Bombín Superior;;"5/8""";;;0,84;1,87;2,10;KIT DE REPARACION DE BOMBIN DE FRENO ;7019;
KC-ZK6752D;Kit de Bombin, Yutong ZK6752D Bombín Superior;;"15/16""";;;0,98;2,18;2,45;KIT DE REPARACION DE BOMBIN DE FRENO ;7020;
KC-TRA0006;Kit de Bombin, Isuzu NPR, Bombín Superior Para Pistón Universal;;3/4¨;;;2,38;5,29;5,95;KIT DE REPARACION DE BOMBIN DE FRENO ;7021;
KC-1608010;Kit de Bombin, Chery Orinico, Bombín Superior;;5/8¨;;;2,10;4,67;5,25;KIT DE REPARACION DE BOMBIN DE FRENO ;7022;
KC-0431112060;Kit de Bombin, Toyota Starlet (80/96);;5/8¨;;;0,84;1,87;2,10;KIT DE REPARACION DE BOMBIN DE FRENO ;7023;
KC-TRA0007;Kit de Bombin, Isuzu NPR, Bombín Inferior Para Pistón Universal;;1¨;;;2,10;4,67;5,25;KIT DE REPARACION DE BOMBIN DE FRENO ;7024;
KC-26830;Kit de Bombin (Superior e inferior) Chevrolet NPR ;;"3/4"" y 1""";;;2,80;6,22;7,00;KIT DE REPARACION DE BOMBIN DE FRENO ;7025;
KC-1587;Kit de Bombin,Jeep Cherokee/Luv /Bombín Superior);;"11/16""";;;2,10;4,67;5,25;KIT DE REPARACION DE BOMBIN DE FRENO ;7026;
KC-9009;Kit de Bombin,Lada Niva (Bombín De Clutch );;19.05 mm;;;2,80;6,22;7,00;KIT DE REPARACION DE BOMBIN DE FRENO ;7027;
KC-1136;Kit de Bombin,Mitsubishi Montero (Bombín Superior e inferior);;"3/4"" y 5/8""";;;1,68;3,73;4,20;KIT DE REPARACION DE BOMBIN DE FRENO ;7028;
KC-9010;Lada Series: 2107/Samara/Niva (Bombín Superior e inferior;;"3/4""";;;3,50;7,78;8,75;KIT DE REPARACION DE BOMBIN DE FRENO ;7029;
KC-47500239;Kit de Bombin, Isuzu FVR, Bombín Superior;;7/8¨;;;3,50;7,78;8,75;KIT DE REPARACION DE BOMBIN DE FRENO ;7030;
KC-3147060180;Kit de Bombin, Toyota Land Cruiser 4.5 (92/02), Macho, Autana, Burbuja;;7/8¨;;;2,80;6,22;7,00;KIT DE REPARACION DE BOMBIN DE FRENO ;7031;
KC-F2TZ7A543D;Kit de Bombin, Ford Bronco (92), Super Duty (94/96), F-150 92, F-250 (92/97), F-350 (92/97), Bombin Superior;;"7/8""";;;3,50;7,78;8,75;KIT DE REPARACION DE BOMBIN DE FRENO ;7032;
KC-9L5Z7A508A;Kit de Bombin, Ford Series: Bronco (94/96), Explorer (93/03), F-150/250/350 , (93/96), Serie B Collar Hidraulico;;"1-7/8""";;;2,10;4,67;5,25;KIT DE REPARACION DE BOMBIN DE FRENO ;7033;
KC-A3862957207;Kit de Bombin, Mercedes Benz 1720, Bombín Inferior;;1-1/2¨;;;2,10;4,67;5,25;KIT DE REPARACION DE BOMBIN DE FRENO ;7034;
KC-555391;Kit de Bombin, Mitsubishi Montero Dakar, Bombín Superior, 15.88mm;;5/8¨;;;5,60;12,44;14,00;KIT DE REPARACION DE BOMBIN DE FRENO ;7035;
KC-96339733;Kit de Bombin, Chevrolet Aveo (06/18) Bombín Superior 15.88mm;;5/8¨;;;7,00;15,56;17,50;KIT DE REPARACION DE BOMBIN DE FRENO ;7036;
KC-55190965;Kit de Bombin, Fiat Series: Strada, Palio 1.8, Stylo, Idea;;42.70mm;;;3,50;7,78;8,75;KIT DE REPARACION DE BOMBIN DE FRENO ;7037;
KC-30620P2910;DongFen ZNA (Bombín inferior);;"11/16""";;;2,10;4,67;5,25;KIT DE REPARACION DE BOMBIN DE FRENO ;7038;
KC-VFCC22926;Mercedes Benz Series:711-712-1420-1634-1720 (Bombín Superior);;"13/16""";;;1,40;3,11;3,50;KIT DE REPARACION DE BOMBIN DE FRENO ;7039;
KC-MR491945;Mitsubishi lancer (Bombín Superior);;"5/8""";;;1,68;3,73;4,20;KIT DE REPARACION DE BOMBIN DE FRENO ;7040;
KC-K022262;Iveco Series: Stralis/Eurotech (Bombín Superior);;"1-1/4""";;;2,80;6,22;7,00;KIT DE REPARACION DE BOMBIN DE FRENO ;7041;
;;;;;;;;;;;
;;;;;;;;;;;
GOMAS PLANAS IMPORTADAS;;;;;;;;;;;
Referencia;Descripcion;CANTIDAD;MEDIDA;MEDIDA;MEDIDA;COSTO;CARACAS;ORIENTE;;;
GPI.1;Goma Plana;;"5/8""";;;0,40;0,89;1,00;GOMAS PLANAS IMPORTADAS ;;
GPI.2;Goma Plana;;"3/4""";;;0,40;0,89;1,00;GOMAS PLANAS IMPORTADAS ;;
GPI.3;Goma Plana;;"11/16""";;;0,40;0,89;1,00;GOMAS PLANAS IMPORTADAS ;;
GPI.4;Goma Plana;;"13/16""";;;0,40;0,89;1,00;GOMAS PLANAS IMPORTADAS ;;
GPI.5;Goma Plana;;"15/16""";;;0,40;0,89;1,00;GOMAS PLANAS IMPORTADAS ;;
GPI.6;Goma Plana;;"7/8""";;;0,40;0,89;1,00;GOMAS PLANAS IMPORTADAS ;;
GPI.7;Goma Plana;;"1""";;;0,40;0,89;1,00;GOMAS PLANAS IMPORTADAS ;;
GPI.8;Goma Plana;;"1-1/2""";;;0,50;1,11;1,25;GOMAS PLANAS IMPORTADAS ;;
GPI.9;Goma Plana;;"1-1/4""";;;0,50;1,11;1,25;GOMAS PLANAS IMPORTADAS ;;
GPI.10;Goma Plana;;"1-1/8""";;;0,50;1,11;1,25;GOMAS PLANAS IMPORTADAS ;;
GPI.11;Goma Plana;;"1-1/16""";;;0,50;1,11;1,25;GOMAS PLANAS IMPORTADAS ;;
GPI.12;Goma Plana;;"1-3/16""";;;0,50;1,11;1,25;GOMAS PLANAS IMPORTADAS ;;
GPI.13;Goma Plana;;"1-5/8""";;;0,50;1,11;1,25;GOMAS PLANAS IMPORTADAS ;;
GPI.14;Goma Plana;;"29/32""";;;0,40;0,89;1,00;GOMAS PLANAS IMPORTADAS ;;
GPI.15;Goma Plana;;"31/32""";;;0,40;0,89;1,00;GOMAS PLANAS IMPORTADAS ;;
GPI.16;Goma Plana;;"1-3/32""";;;0,50;1,11;1,25;GOMAS PLANAS IMPORTADAS ;;
;;;;;;;;;;;
;;;;;;;;;;;
KIT DE REPARACION DE HIDROVACK E HIDROBOOSTER MBM;;;;;;;;;;;
Referencia;Descripcion;CANTIDAD;MEDIDA;MEDIDA;MEDIDA;COSTO;CARACAS;ORIENTE;;;
Kit K-50;Kit de Reparacion de Hidrobooster Chevrolet C-30;;;;;30,00;66,67;75,00;KIT DE REPARACION HIDROVACK / HIDROBOOSTER ;;
Kit K-501;Kit de Reparacion de Hidrobooster Completo;;;;;0;0,00;0,00;KIT DE REPARACION HIDROVACK / HIDROBOOSTER ;;
Kit K-2335;Kit de Reparacion de Hidrovack Ford F-600;;;;;23,00;51,11;57,50;KIT DE REPARACION HIDROVACK / HIDROBOOSTER ;;
Kit K-4603;Kit de Reparacion de Hidrobooster Chevrolet C-60;;;;;21,50;47,78;53,75;KIT DE REPARACION HIDROVACK / HIDROBOOSTER ;;
;;;;;;;;;;;
;;;;;;;;;;;
DIAFRAGMA DE CHAMBER (DIAFRAGMA DE PULMON);;;;;;;;;;;
Referencia;Descripcion;CANTIDAD;MEDIDA;MEDIDA;MEDIDA;COSTO;CARACAS;ORIENTE;;;
T-12;Diafragma, 12;;;;;6,00;13,33;15,00;DIAFRAGMA PULMON DE AIRE ;;
T-16;Diafragma, 16;;;;;6,60;14,67;16,50;DIAFRAGMA PULMON DE AIRE ;;
T-24;Diafragma, 24;;;;;7,20;16,00;18,00;DIAFRAGMA PULMON DE AIRE ;;
T-30;Diafragma, 30;;;;;7,80;17,33;19,50;DIAFRAGMA PULMON DE AIRE ;;
;;;;;;;;;;;
;;;;;;;;;;;
KIT DE ANTIRUIDOS IMPORTADOS BBP;;;;;;;;;;;
Referencia;Descripcion;Para;MEDIDA;MEDIDA;MEDIDA;COSTO;CARACAS;ORIENTE;;;
04465-02390;Kit Antiruido de Frenos Toyota series:Corolla 2015-2016 (Latin América) Pastilla D1964 9189;2 Ruedas;;;;7,50;16,67;18,75;KIT ANTIRUIDOS IMPORTADOS ;;
5286;Bushing Kit Daewoo Lanos;2 Ruedas;;;;1,20;2,67;3,00;KIT ANTIRUIDOS IMPORTADOS ;;
5483;Kit Ant. Dodge Ram 2500/4000, 4x2, 4x4, (01/02),  Delantero, Pastilla: D965 7864;1 Rueda;;;;4,20;9,33;10,50;KIT ANTIRUIDOS IMPORTADOS ;;
5500;Kit Antiruido, 4 Bocinas, 4 O'ring Grandes, 4 O'Ring Pequeños, Chevrolet/Jeep, Pastilla: 7070 / 728;2 Ruedas;;;;1,20;2,67;3,00;KIT ANTIRUIDOS IMPORTADOS ;;
5503;Kit Antiruido Ford Country Squire, Galaxie 500, LTD, Thunderbird (68/72), Pastilla: D33 773;2 Ruedas;;;;2,40;5,33;6,00;KIT ANTIRUIDOS IMPORTADOS ;;
5510;Kit Antiruido Delantero, (Cuña + Ballestin + Gancho), LTD, Galaxie 500, Jeep Series: D50/D92, 7056/788;1 Rueda;;;;2,90;6,44;7,25;KIT ANTIRUIDOS IMPORTADOS ;;
5516;Kit Antiruido Delantero, Chrysler LeBaron / Monaco, Dodge Aspen, Dart, D100/150/200/300/350/400/450, Valiant;1 Rueda;;;;2,70;6,00;6,75;KIT ANTIRUIDOS IMPORTADOS ;;
5527;Kit Antiruido Delantero, (Cuña + Ballestin + Gancho), AMC, Hornet, Jeep CJ5, CJ7, Maverick, Pastilla: D91 7027;1 Rueda;;;;3,00;6,67;7,50;KIT ANTIRUIDOS IMPORTADOS ;;
5529;Kit Antiruido Delantero, (Cuña + Ballestin + Gancho), Chevrolet C-30, 3500, Pastilla: D149-7024;1 Rueda;;;;2,90;6,44;7,25;KIT ANTIRUIDOS IMPORTADOS ;;
5533;"Kit Antiruido, (Cuña + Ballestin + Resorte en ""Z""), Ford F-350, E-200/250, Pastilla: D120-7054";1 Rueda;;;;5,00;11,11;12,50;KIT ANTIRUIDOS IMPORTADOS ;;
5541;Kit Antiruido Ford LTD (79/82), Pastilla: D150 7082A ;2 Ruedas;;;;3,00;6,67;7,50;KIT ANTIRUIDOS IMPORTADOS ;;
5542;Kit Antiruido Fairmont (78/80), Zephyr (80),Mustang (79/81), Pastilla: D152 7072A;2 Ruedas;;;;2,40;5,33;6,00;KIT ANTIRUIDOS IMPORTADOS ;;
5544;Kit Antiruido Century/Celebrity, (82/89), Pastilla: D 183 7070C;2 Ruedas;;;;1,90;4,22;4,75;KIT ANTIRUIDOS IMPORTADOS ;;
5545;Kit Antiruido Delantero, (Cuña + Ballestin + Gancho), Vehiculos Ford F-150/250 Con Pastilla: D50 788;1 Rueda;;;;3,00;6,67;7,50;KIT ANTIRUIDOS IMPORTADOS ;;
5551;Kit Antiruido, Ford Fairmont / Zephyr Granada, PD142-7072C, 2 Bushing y Un Gancho De Pastilla;1 Rueda;;;;1,80;4,00;4,50;KIT ANTIRUIDOS IMPORTADOS ;;
5552;Kit Antiruido Jeep Wagoneer/Cherokee/Comanche, 2 Bushing y 2 Retenes, Pastilla: D203 7122;1 Rueda;;;;1,80;4,00;4,50;KIT ANTIRUIDOS IMPORTADOS ;;
5567; Bushing Kit  Ford Fairmont/Zephyr/Cougar, LTD/Mustang (83/86), Pastilla: D237 7072B;2 Ruedas;;;;1,60;3,56;4,00;KIT ANTIRUIDOS IMPORTADOS ;;
5568;Bushing Kit, Ford Focus, D-816 7690.Grand Cherokee  D-790 7660 ;2 Ruedas;;;;2,00;4,44;5,00;KIT ANTIRUIDOS IMPORTADOS ;;
5585;Kit Antiruido Chevrolet Grand Blazer, Cheyenne 1500 4x2, 4x4, Pastilla: D369 7259A ;1 Rueda;;;;3,50;7,78;8,75;KIT ANTIRUIDOS IMPORTADOS ;;
5585-K;Kit Antiruido Chevrolet Grand Blazer/Cheyenne 1500 4x2, 4x4, Pastilla: D369 7259A ;2 Ruedas;;;;6,00;13,33;15,00;KIT ANTIRUIDOS IMPORTADOS ;;
5593;Bushing Kit, 4 Piezas, Dodge Neon, Ford F-350/E-200/250;2 Ruedas;;;;2,00;4,44;5,00;KIT ANTIRUIDOS IMPORTADOS ;;
5604;Bushing Kit  Chevrolet Cavalier/Century (90/99), Pastilla: D506 7385, Lumina/Sunbird/Buick Skylark (90/99);2 Ruedas;;;;3,00;6,67;7,50;KIT ANTIRUIDOS IMPORTADOS ;;
5605;Kit Antiruido Delantero, 2 Ganchos y 2 Bushings, Jeep Cherokee/Wrangler, D477/D712-7358A;1 Rueda;;;;1,40;3,11;3,50;KIT ANTIRUIDOS IMPORTADOS ;;
5605-K;Kit Antiruido Completo de Ganchos, Tornillos y Bushing Delantero.Jeep Cherokee/Wrangler D477/D712-7358A;2 Ruedas;;;;7,20;16,00;18,00;KIT ANTIRUIDOS IMPORTADOS ;;
5606;Bushing Kit, Chevrolet C-3500, Dodge Ram 3500, Pastilla: D459 7339;2 Ruedas;;;;1,80;4,00;4,50;KIT ANTIRUIDOS IMPORTADOS ;;
